file_name,site_qualities,site_positions,hub_position,num_agents,site_converged,time_converged,start_state,maxTime
1706631030435099.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435145.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435167.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435234.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435212.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435193.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435228.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435220.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435203.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435158.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,(),100
1706631030435322.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435347.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435362.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435372.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435250.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435241.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435341.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435330.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435353.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435380.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435335.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,474,(),500
1706631030435386.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435405.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435415.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435430.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435401.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435443.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435424.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435394.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435438.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,621,(),1000
1706631030435540.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),10000
1706631030435582.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435574.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435589.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435595.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435655.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435634.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435629.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435471.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435662.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435451.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435669.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435676.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435601.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435641.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435480.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435491.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435683.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435695.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435462.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435700.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435535.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435688.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435506.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435456.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435728.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435706.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435485.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),10000
1706631030435721.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435714.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",100
1706631030435735.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435647.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,314,(),35000
1706631030435765.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435757.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435752.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435774.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435547.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,638,(),35000
1706631030435783.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,90,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435827.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,69,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435790.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435748.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,184,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435835.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435802.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435740.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,184,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435809.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435883.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435779.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",500
1706631030435890.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435822.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,108,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435796.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435914.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,105,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435918.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435934.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,85,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030435992.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,37,"(('TRAVEL_SITE', 0), ('RECRUIT', 0), ('TRAVEL_SITE', 0), ('EXPLORE', None), ('TRAVEL_SITE', 0), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_SITE', 0), ('TRAVEL_SITE', 0))",100
1706631030435868.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435861.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435961.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,85,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030435939.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030435815.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",1000
1706631030435878.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435953.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030436000.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,43,"(('TRAVEL_SITE', 0), ('RECRUIT', 0), ('TRAVEL_SITE', 0), ('EXPLORE', None), ('TRAVEL_SITE', 0), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_SITE', 0), ('TRAVEL_SITE', 0))",100
1706631030435896.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435973.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,85,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030435966.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
1706631030435909.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,190,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",10000
1706631030435978.csv,"(0.8, 0.3)","([100.0, 0.0], [-100.0, 1.2246467991473532e-14])","[0.0, 0.0]",10,0.8,100,"(('OBSERVE', None), ('TRAVEL_HOME_TO_RECRUIT', 0), ('OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('TRAVEL_HOME_TO_OBSERVE', None), ('EXPLORE', None), ('OBSERVE', None), ('OBSERVE', None), ('OBSERVE', None))",35000
